Algorithm,Width,Height,Threads,Seed,FillPercent,Run,TimeMs
OMP_Rows,100,100,2,42,0.40,0,14.997000
OMP_Rows,100,100,2,42,0.40,1,14.374000
OMP_Rows,100,100,2,42,0.40,2,13.704000
OMP_Rows,100,100,2,42,0.40,3,13.991000
OMP_Rows,100,100,2,42,0.40,4,14.164000
OMP_Rows,100,100,2,42,0.40,5,14.190000
OMP_Rows,100,100,2,42,0.40,6,14.333000
OMP_Rows,100,100,2,42,0.40,7,14.455000
OMP_Rows,100,100,2,42,0.40,8,14.459000
OMP_Rows,100,100,2,42,0.40,9,13.757000
OMP_Rows,100,100,2,42,0.40,10,14.091000
OMP_Rows,100,100,2,42,0.40,11,13.599000
OMP_Rows,100,100,2,42,0.40,12,13.541000
OMP_Rows,100,100,2,42,0.40,13,13.737000
OMP_Rows,100,100,2,42,0.40,14,14.108000
OMP_Rows,100,100,2,42,0.40,15,13.308000
OMP_Rows,100,100,2,42,0.40,16,13.091000
OMP_Rows,100,100,2,42,0.40,17,14.556000
OMP_Rows,100,100,2,42,0.40,18,13.856000
OMP_Rows,100,100,2,42,0.40,19,13.752000
OMP_Rows,100,100,2,42,0.40,20,13.696000
OMP_Rows,100,100,2,42,0.40,21,14.079000
OMP_Rows,100,100,2,42,0.40,22,13.504000
OMP_Rows,100,100,2,42,0.40,23,13.424000
OMP_Rows,100,100,2,42,0.40,24,13.023000
OMP_Rows,100,100,2,42,0.40,AVG,13.939909
OMP_Rows,100,100,3,42,0.40,0,19.392000
OMP_Rows,100,100,3,42,0.40,1,19.015000
OMP_Rows,100,100,3,42,0.40,2,19.060000
OMP_Rows,100,100,3,42,0.40,3,19.144000
OMP_Rows,100,100,3,42,0.40,4,19.025000
OMP_Rows,100,100,3,42,0.40,5,19.409000
OMP_Rows,100,100,3,42,0.40,6,19.762000
OMP_Rows,100,100,3,42,0.40,7,19.316000
OMP_Rows,100,100,3,42,0.40,8,19.603000
OMP_Rows,100,100,3,42,0.40,9,19.428000
OMP_Rows,100,100,3,42,0.40,10,19.134000
OMP_Rows,100,100,3,42,0.40,11,19.336000
OMP_Rows,100,100,3,42,0.40,12,19.174000
OMP_Rows,100,100,3,42,0.40,13,19.387000
OMP_Rows,100,100,3,42,0.40,14,19.469000
OMP_Rows,100,100,3,42,0.40,15,19.330000
OMP_Rows,100,100,3,42,0.40,16,18.988000
OMP_Rows,100,100,3,42,0.40,17,19.248000
OMP_Rows,100,100,3,42,0.40,18,19.280000
OMP_Rows,100,100,3,42,0.40,19,19.285000
OMP_Rows,100,100,3,42,0.40,20,19.314000
OMP_Rows,100,100,3,42,0.40,21,19.742000
OMP_Rows,100,100,3,42,0.40,22,19.174000
OMP_Rows,100,100,3,42,0.40,23,19.236000
OMP_Rows,100,100,3,42,0.40,24,19.003000
OMP_Rows,100,100,3,42,0.40,AVG,19.233955
OMP_Rows,100,100,4,42,0.40,0,29.663000
OMP_Rows,100,100,4,42,0.40,1,30.746000
OMP_Rows,100,100,4,42,0.40,2,27.972000
